ID,GENE
DEMO-002,GENE_B
DEMO-002,GENE_D
DEMO-003,GENE_C
DEMO-003,GENE_D
DEMO-003,GENE_B
DEMO-004,GENE_A
DEMO-006,GENE_D
DEMO-006,GENE_B
DEMO-007,GENE_B
DEMO-007,GENE_A
DEMO-007,GENE_D
DEMO-008,GENE_C
DEMO-009,GENE_A
DEMO-009,GENE_C
DEMO-009,GENE_B
DEMO-010,GENE_A
DEMO-010,GENE_D
DEMO-010,GENE_B
DEMO-011,GENE_C
DEMO-011,GENE_B
DEMO-011,GENE_A
DEMO-012,GENE_B
DEMO-012,GENE_D
DEMO-012,GENE_C
DEMO-013,GENE_D
DEMO-016,GENE_D
DEMO-016,GENE_C
DEMO-016,GENE_A
DEMO-017,GENE_A
DEMO-018,GENE_C
DEMO-018,GENE_A
DEMO-018,GENE_D
DEMO-019,GENE_D
DEMO-019,GENE_B
DEMO-020,GENE_B
DEMO-020,GENE_C
DEMO-020,GENE_D
DEMO-022,GENE_B
DEMO-022,GENE_C
DEMO-022,GENE_A
DEMO-023,GENE_B
DEMO-023,GENE_D
DEMO-023,GENE_A
DEMO-024,GENE_B
DEMO-024,GENE_A
DEMO-024,GENE_D
DEMO-025,GENE_B
DEMO-027,GENE_A
DEMO-029,GENE_A
DEMO-029,GENE_C
DEMO-030,GENE_B
DEMO-030,GENE_A
DEMO-031,GENE_A
DEMO-031,GENE_D
DEMO-031,GENE_B
DEMO-032,GENE_C
DEMO-032,GENE_A
DEMO-032,GENE_D
DEMO-033,GENE_C
DEMO-034,GENE_C
DEMO-034,GENE_D
DEMO-037,GENE_B
DEMO-037,GENE_A
DEMO-038,GENE_D
DEMO-038,GENE_C
DEMO-038,GENE_A
DEMO-039,GENE_D
DEMO-040,GENE_C
DEMO-041,GENE_D
DEMO-041,GENE_B
DEMO-042,GENE_C
DEMO-042,GENE_D
DEMO-043,GENE_C
DEMO-043,GENE_D
DEMO-045,GENE_A
DEMO-047,GENE_A
DEMO-048,GENE_B
DEMO-049,GENE_D
DEMO-049,GENE_C
DEMO-050,GENE_D
DEMO-052,GENE_B
DEMO-052,GENE_A
DEMO-053,GENE_A
DEMO-054,GENE_C
DEMO-054,GENE_A
DEMO-055,GENE_D
DEMO-057,GENE_B
DEMO-057,GENE_C
DEMO-057,GENE_A
DEMO-058,GENE_D
